[2018-07-11 22:40:47] request.INFO: Matched route "ex4read_ingresarSistema" (parameters: "_controller": "Libreame\BackendBundle\Controller\GamesController::servicioAction", "_format": "json", "_route": "ex4read_ingresarSistema") [] []
[2018-07-11 22:40:48] request.CRITICAL: Uncaught PHP Exception Doctrine\DBAL\DBALException: "An exception occurred while executing 'INSERT INTO puntosusuario (inpuntaje, fefechapuntos, insumaresta, punusuario_idactiusuario, punusuario_idejemplar, punusuario_resenavideojuego, puntosusuario_idusuario) VALUES (?, ?, ?, ?, ?, ?, ?)' with params [null, "2018-07-11 22:40:48", 1, null, 6, null, "1"]: SQLSTATE[23000]: Integrity constraint violation: 1048 Column 'inpuntaje' cannot be null" at C:\xampp\htdocs\ex4playS\vendor\doctrine\dbal\lib\Doctrine\DBAL\DBALException.php line 91 {"exception":"[object] (Doctrine\\DBAL\\DBALException: An exception occurred while executing 'INSERT INTO puntosusuario (inpuntaje, fefechapuntos, insumaresta, punusuario_idactiusuario, punusuario_idejemplar, punusuario_resenavideojuego, puntosusuario_idusuario) VALUES (?, ?, ?, ?, ?, ?, ?)' with params [null, \"2018-07-11 22:40:48\", 1, null, 6, null, \"1\"]:\n\nSQLSTATE[23000]: Integrity constraint violation: 1048 Column 'inpuntaje' cannot be null at C:\\xampp\\htdocs\\ex4playS\\vendor\\doctrine\\dbal\\lib\\Doctrine\\DBAL\\DBALException.php:91, PDOException: SQLSTATE[23000]: Integrity constraint violation: 1048 Column 'inpuntaje' cannot be null at C:\\xampp\\htdocs\\ex4playS\\vendor\\doctrine\\dbal\\lib\\Doctrine\\DBAL\\Statement.php:165)"} []
[2018-07-11 23:42:45] request.INFO: Matched route "ex4read_ingresarSistema" (parameters: "_controller": "Libreame\BackendBundle\Controller\GamesController::servicioAction", "_format": "json", "_route": "ex4read_ingresarSistema") [] []
[2018-07-11 23:42:45] request.CRITICAL: Uncaught PHP Exception Doctrine\ORM\ORMInvalidArgumentException: "A new entity was found through the relationship 'Libreame\BackendBundle\Entity\Videojuego#videojuegoConsola' that was not configured to cascade persist operations for entity: Libreame\BackendBundle\Entity\Consola@000000002567620f000000007ff6860f. To solve this issue: Either explicitly call EntityManager#persist() on this unknown entity or configure cascade persist  this association in the mapping for example @ManyToOne(..,cascade={"persist"}). If you cannot find out which entity causes the problem implement 'Libreame\BackendBundle\Entity\Consola#__toString()' to get a clue." at C:\xampp\htdocs\ex4playS\vendor\doctrine\orm\lib\Doctrine\ORM\ORMInvalidArgumentException.php line 91 {"exception":"[object] (Doctrine\\ORM\\ORMInvalidArgumentException: A new entity was found through the relationship 'Libreame\\BackendBundle\\Entity\\Videojuego#videojuegoConsola' that was not configured to cascade persist operations for entity: Libreame\\BackendBundle\\Entity\\Consola@000000002567620f000000007ff6860f. To solve this issue: Either explicitly call EntityManager#persist() on this unknown entity or configure cascade persist  this association in the mapping for example @ManyToOne(..,cascade={\"persist\"}). If you cannot find out which entity causes the problem implement 'Libreame\\BackendBundle\\Entity\\Consola#__toString()' to get a clue. at C:\\xampp\\htdocs\\ex4playS\\vendor\\doctrine\\orm\\lib\\Doctrine\\ORM\\ORMInvalidArgumentException.php:91)"} []
[2018-07-11 23:48:19] request.INFO: Matched route "ex4read_ingresarSistema" (parameters: "_controller": "Libreame\BackendBundle\Controller\GamesController::servicioAction", "_format": "json", "_route": "ex4read_ingresarSistema") [] []
[2018-07-11 23:48:19] request.CRITICAL: Uncaught PHP Exception Doctrine\ORM\ORMInvalidArgumentException: "A new entity was found through the relationship 'Libreame\BackendBundle\Entity\Videojuego#videojuegoConsola' that was not configured to cascade persist operations for entity: Libreame\BackendBundle\Entity\Consola@000000005d16d0d200000000741e8423. To solve this issue: Either explicitly call EntityManager#persist() on this unknown entity or configure cascade persist  this association in the mapping for example @ManyToOne(..,cascade={"persist"}). If you cannot find out which entity causes the problem implement 'Libreame\BackendBundle\Entity\Consola#__toString()' to get a clue." at C:\xampp\htdocs\ex4playS\vendor\doctrine\orm\lib\Doctrine\ORM\ORMInvalidArgumentException.php line 91 {"exception":"[object] (Doctrine\\ORM\\ORMInvalidArgumentException: A new entity was found through the relationship 'Libreame\\BackendBundle\\Entity\\Videojuego#videojuegoConsola' that was not configured to cascade persist operations for entity: Libreame\\BackendBundle\\Entity\\Consola@000000005d16d0d200000000741e8423. To solve this issue: Either explicitly call EntityManager#persist() on this unknown entity or configure cascade persist  this association in the mapping for example @ManyToOne(..,cascade={\"persist\"}). If you cannot find out which entity causes the problem implement 'Libreame\\BackendBundle\\Entity\\Consola#__toString()' to get a clue. at C:\\xampp\\htdocs\\ex4playS\\vendor\\doctrine\\orm\\lib\\Doctrine\\ORM\\ORMInvalidArgumentException.php:91)"} []
[2018-07-11 23:49:40] request.INFO: Matched route "ex4read_ingresarSistema" (parameters: "_controller": "Libreame\BackendBundle\Controller\GamesController::servicioAction", "_format": "json", "_route": "ex4read_ingresarSistema") [] []
[2018-07-11 23:49:40] request.CRITICAL: Uncaught PHP Exception Doctrine\ORM\ORMInvalidArgumentException: "A new entity was found through the relationship 'Libreame\BackendBundle\Entity\Videojuego#videojuegoConsola' that was not configured to cascade persist operations for entity: Libreame\BackendBundle\Entity\Consola@000000000d4b3f7400000000519eaa70. To solve this issue: Either explicitly call EntityManager#persist() on this unknown entity or configure cascade persist  this association in the mapping for example @ManyToOne(..,cascade={"persist"}). If you cannot find out which entity causes the problem implement 'Libreame\BackendBundle\Entity\Consola#__toString()' to get a clue." at C:\xampp\htdocs\ex4playS\vendor\doctrine\orm\lib\Doctrine\ORM\ORMInvalidArgumentException.php line 91 {"exception":"[object] (Doctrine\\ORM\\ORMInvalidArgumentException: A new entity was found through the relationship 'Libreame\\BackendBundle\\Entity\\Videojuego#videojuegoConsola' that was not configured to cascade persist operations for entity: Libreame\\BackendBundle\\Entity\\Consola@000000000d4b3f7400000000519eaa70. To solve this issue: Either explicitly call EntityManager#persist() on this unknown entity or configure cascade persist  this association in the mapping for example @ManyToOne(..,cascade={\"persist\"}). If you cannot find out which entity causes the problem implement 'Libreame\\BackendBundle\\Entity\\Consola#__toString()' to get a clue. at C:\\xampp\\htdocs\\ex4playS\\vendor\\doctrine\\orm\\lib\\Doctrine\\ORM\\ORMInvalidArgumentException.php:91)"} []
[2018-07-11 23:50:32] request.INFO: Matched route "ex4read_ingresarSistema" (parameters: "_controller": "Libreame\BackendBundle\Controller\GamesController::servicioAction", "_format": "json", "_route": "ex4read_ingresarSistema") [] []
[2018-07-11 23:50:32] request.CRITICAL: Uncaught PHP Exception Doctrine\ORM\ORMInvalidArgumentException: "A new entity was found through the relationship 'Libreame\BackendBundle\Entity\Videojuego#videojuegoConsola' that was not configured to cascade persist operations for entity: Libreame\BackendBundle\Entity\Consola@000000001bbf020f00000000595a25cb. To solve this issue: Either explicitly call EntityManager#persist() on this unknown entity or configure cascade persist  this association in the mapping for example @ManyToOne(..,cascade={"persist"}). If you cannot find out which entity causes the problem implement 'Libreame\BackendBundle\Entity\Consola#__toString()' to get a clue." at C:\xampp\htdocs\ex4playS\vendor\doctrine\orm\lib\Doctrine\ORM\ORMInvalidArgumentException.php line 91 {"exception":"[object] (Doctrine\\ORM\\ORMInvalidArgumentException: A new entity was found through the relationship 'Libreame\\BackendBundle\\Entity\\Videojuego#videojuegoConsola' that was not configured to cascade persist operations for entity: Libreame\\BackendBundle\\Entity\\Consola@000000001bbf020f00000000595a25cb. To solve this issue: Either explicitly call EntityManager#persist() on this unknown entity or configure cascade persist  this association in the mapping for example @ManyToOne(..,cascade={\"persist\"}). If you cannot find out which entity causes the problem implement 'Libreame\\BackendBundle\\Entity\\Consola#__toString()' to get a clue. at C:\\xampp\\htdocs\\ex4playS\\vendor\\doctrine\\orm\\lib\\Doctrine\\ORM\\ORMInvalidArgumentException.php:91)"} []
[2018-07-11 23:54:30] request.INFO: Matched route "ex4read_ingresarSistema" (parameters: "_controller": "Libreame\BackendBundle\Controller\GamesController::servicioAction", "_format": "json", "_route": "ex4read_ingresarSistema") [] []
